WARNING: ../pv2spec/pv2spec-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv2-bgez.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ xxxxxxxx |        |        |        |  (-_-) }
{ xxxxxxxx |        |        |        |  (-_-) }
{ 00080000 |  (-_-) |  (-_-) |  (-_-) |  nop   }
{ 00080000 |  (-_-) |  (-_-) |  (-_-) |  (-_-) }
{ 00080004 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#00080008 |# bgez  |  (-_-) |  (-_-) |  (-_-) }
{ 00080008 |  bgez  |  addiu |  (-_-) |  (-_-) }
{ 0008000c |  addiu |  (-_-) |  addiu |  addiu }
{-00080010-|- bne  -|  bgez  |  (-_-) |  (-_-) }
{ 00080018 |  (-_-) |  (-_-) |  bgez  |  bgez  }
{ 0008001c |  bgez  |  (-_-) |  (-_-) |  (-_-) }
{ 00080020 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{-00080024-|- bne  -|  bgez  |  (-_-) |  (-_-) }
{ 00080010 |  (-_-) |  (-_-) |  bgez  |  bgez  }
{ 00080014 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#00080018 |# bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080018 |  bne   |  addiu |  (-_-) |  (-_-) }
{ 0008001c |  bgez  |  (-_-) |  addiu |  addiu }
{-00080020-|- addiu-|  bne   |  (-_-) |  (-_-) }
{ 00080024 |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080028 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#0008002c |# bgez  |  (-_-) |  (-_-) |  (-_-) }
{ 0008002c |  bgez  |  addiu |  (-_-) |  (-_-) }
{ 00080030 |  addiu |  (-_-) |  addiu |  addiu }
{-00080034-|- bne  -|  bgez  |  (-_-) |  (-_-) }
{ 0008003c |  (-_-) |  (-_-) |  bgez  |  bgez  }
{ 00080040 |  bgez  |  (-_-) |  (-_-) |  (-_-) }
{ 00080044 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{-00080048-|- bne  -|  bgez  |  (-_-) |  (-_-) }
{ 00080034 |  (-_-) |  (-_-) |  bgez  |  bgez  }
{ 00080038 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#0008003c |# bne   |  (-_-) |  (-_-) |  (-_-) }
{ 0008003c |  bne   |  addiu |  (-_-) |  (-_-) }
{ 00080040 |  bgez  |  (-_-) |  addiu |  addiu }
{-00080044-|- addiu-|  bne   |  (-_-) |  (-_-) }
{ 00080048 |  (-_-) |  (-_-) |  bne   |  bne   }
{ 0008004c |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#00080050 |# bgez  |  (-_-) |  (-_-) |  (-_-) }
{ 00080050 |  bgez  |  addiu |  (-_-) |  (-_-) }
{ 00080054 |  addiu |  (-_-) |  addiu |  addiu }
{#00080058 |# bne   |  bgez  |  (-_-) |  (-_-) }
{ 00080058 |  bne   |  addiu |  bgez  |  bgez  }
{ 0008005c |  addiu |  (-_-) |  addiu |  addiu }
{-00080060-|- bne  -|  bne   |  (-_-) |  (-_-) }
{ 00080060 |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080064 |  bgez  |  (-_-) |  (-_-) |  (-_-) }
{ 00080068 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#0008006c |# bgez  |  bgez  |  (-_-) |  (-_-) }
